Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
2-UV-PE-3_5,UV-PE-35,1.19,111.5,1st Heating,58.0,118.76,110.4,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_1,UV-PE-36,1.21,111.0,1st Heating,58.0,119.44,111.0,0,x,0,x,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_2,UV-PE-37,1.28,112.1,1st Heating,58.0,120.195,110.7,0,x,0,x,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_3,UV-PE-38,1.45,114.9,1st Heating,58.0,120.32,110.8,0,x,0,x,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_4,UV-PE-39,1.16,114.7,1st Heating,58.0,119.41,110.7,0,x,0,x,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_5,UV-PE-40,1.17,115.0,1st Heating,58.0,118.52,110.4,0,x,0,x,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_1,UV-PET-21,1.28,34.14,1st Heating,207.5,256.2,243.4,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_2,UV-PET-22,1.4,35.76,1st Heating,207.5,255.7,243.1,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_3,UV-PET-23,1.27,36.88,1st Heating,207.5,255.1,243.3,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_4,UV-PET-24,1.33,35.52,1st Heating,207.5,255.9,242.7,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_5,UV-PET-25,1.33,32.71,1st Heating,207.5,255.4,242.8,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_1,UV-PET-26,1.14,35.15,1st Heating,204.9,255.2,243.8,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_2,UV-PET-27,1.34,35.68,1st Heating,204.9,255.3,243.3,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_3,UV-PET-28,1.35,35.46,1st Heating,204.9,255.1,244.0,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_4,UV-PET-29,1.24,36.8,1st Heating,204.9,255.8,243.5,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,1.29,35.77,1st Heating,204.9,255.8,243.9,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_1,UV-PET-31,1.42,34.3,1st Heating,206.5,255.2,243.7,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,1.26,35.55,1st Heating,206.5,255.4,242.9,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,1.28,34.75,1st Heating,206.5,254.1,242.6,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,1.46,34.51,1st Heating,206.5,253.7,243.0,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,1.12,34.87,1st Heating,206.5,255.3,242.7,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,1.19,34.87,1st Heating,206.9,253.01,243.0,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,1.39,34.4,1st Heating,206.9,255.2,243.4,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,1.35,35.0,1st Heating,206.9,255.4,242.6,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,1.45,36.94,1st Heating,207.0,255.49,242.5,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,1.44,35.93,1st Heating,207.09,255.3,243.2,0,0,x,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,1.48,127.7,1st Heating,58.0,118.97,110.0,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,1.27,123.7,1st Heating,58.0,116.96,109.7,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,1.37,123.7,1st Heating,58.5,118.9,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,1.41,125.0,1st Heating,58.0,118.532,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,1.47,124.5,1st Heating,58.2,119.19,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,1.33,131.3,1st Heating,58.76,119.44,109.9,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,1.36,129.0,1st Heating,58.0,118.72,110.5,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,1.44,124.8,1st Heating,58.0,119.31,110.4,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,1.37,125.6,1st Heating,58.0,120.74,110.1,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,1.5,128.6,1st Heating,58.0,120.56,110.0,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,1.49,125.6,1st Heating,58.176,120.76,110.1,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,1.35,130.9,1st Heating,58.102,119.85,110.6,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,1.3,130.4,1st Heating,58.382,119.25,109.8,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,1.33,130.5,1st Heating,58.0,119.77,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,1.35,128.0,1st Heating,58.044,120.35,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,1.27,124.5,1st Heating,58.0,119.7,110.2,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,1.32,125.5,1st Heating,58.0,119.65,110.0,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_3,UV-PE-58,1.19,124.5,1st Heating,59.209,117.97,109.9,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,1.46,126.1,1st Heating,58.0,119.65,110.3,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,1.4,127.5,1st Heating,58.0,119.71,110.0,0,x,0,l,0.0,x,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_1,UV-PET-41,1.34,37.47,1st Heating,208.84,254.94,242.6,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
