Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
0-PET-2_3,1.33,145.64,191.2,170.9,-30.81,,,x,,,,,,1st Cooling,
0-PET-2_4,1.39,145.36,191,171.5,-29.68,,,x,,,,,,1st Cooling,
0-PET-2_5,1.29,145.21,191.05,172.3,-31.67,,,x,,,,,,1st Cooling,
0-PET-3_1,1.33,146,192.7,170.9,-31.36,,,x,,,,,,1st Cooling,
0-PET-3_2,1.42,146,192.7,171.3,-31.72,,,x,,,,,,1st Cooling,
0-PET-3_3,1.43,146,192.7,173,-31.72,,,x,,,,,,1st Cooling,
0-PET-3_4,1.28,146,192.7,171.5,-30.65,,,x,,,,,,1st Cooling,
0-PET-3_5,1.26,146,192.5,170,-30.48,,,x,,,,,,1st Cooling,
0-PET-4_1,1.16,144.2,192.16,171.8,-30.11,,,x,,,,,,1st Cooling,
0-PET-4_2,1.17,144.5,192,171.7,-28.39,,,x,,,,,,1st Cooling,
0-PET-4_3,1.16,142.6,193.2,170.6,-31.1,,,x,,,,,,1st Cooling,
0-PET-4_4,1.29,145,192,172.2,-30.62,,,x,,,,,,1st Cooling,
0-PET-4_5,1.42,144.08,193.04,174.2,-31.78,,,x,,,,,,1st Cooling,
1-UV-PET-1_1,1.38,159.1,205.4,194.1,-41.2,,,x,s,,,,,1st Cooling,
1-UV-PET-1_2,1.32,159.1,205.4,194.1,-41.25,,,x,s,,,,,1st Cooling,
1-UV-PET-1_3,1.56,159.1,205.4,194.1,-41.86,,,x,s,,,,,1st Cooling,
1-UV-PET-1_4,1.41,159.1,205.4,194.1,-41.03,,,x,s,,,,,1st Cooling,
1-UV-PET-1_5,1.31,159.1,205.4,193.8,-40.33,,,x,s,,,,,1st Cooling,
1-UV-PET-2_1,1.22,161.7,205.9,194.7,-40.84,,,x,s,,,,,1st Cooling,
1-UV-PET-2_2,1.17,161.7,205.9,193.8,-41.28,,,x,s,,,,,1st Cooling,
1-UV-PET-2_3,1.34,162.3,205.2,194.1,-38.46,,,x,s,,,,,1st Cooling,
1-UV-PET-2_4,1.26,162.4,205.9,194.7,-40.55,,,x,s,,,,,1st Cooling,
1-UV-PET-2_5,1.19,161.3,208.5,193.8,-40.46,,,x,s,,,,,1st Cooling,
1-UV-PET-3_1,1.38,163,205.1,193.5,-41.14,,,x,s,,,,,1st Cooling,
1-UV-PET-3_2,1.51,164.3,205.6,194.1,-41.03,,,x,s,,,,,1st Cooling,
1-UV-PET-3_3,1.53,163,206.1,194.6,-41.38,,,x,s,,,,,1st Cooling,
1-UV-PET-3_4,1.38,163,205.4,193.8,-40.29,,,x,s,,,,,1st Cooling,
1-UV-PET-3_5,1.31,162,205.2,193.8,-40.15,,,x,s,,,,,1st Cooling,
1-UV-PET-4_1,1.21,160,205.69,194.8,-41.4,,,x,s,,,,,1st Cooling,
1-UV-PET-4_2,1.18,159.2,204,194.2,-40.28,,,x,s,,,,,1st Cooling,
1-UV-PET-4_3,1.11,158.3,204.9,194.6,-40.76,,,x,s,,,,,1st Cooling,
1-UV-PET-4_4,1.4,159.4,205.4,194,-41.76,,,x,s,,,,,1st Cooling,
1-UV-PET-4_5,1.13,159.43,206.3,191.5,-39.31,,,x,s,,,,,1st Cooling,
2-UV-PET-1_1,1.28,162.7,206.2,195.4,-37.35,,,x,s,,,,,1st Cooling,
2-UV-PET-1_2,1.4,162.7,206,195.4,-39.42,,,x,s,,,,,1st Cooling,
2-UV-PET-1_3,1.27,162.7,206,195.1,-38.71,,,x,s,,,,,1st Cooling,
2-UV-PET-1_4,1.33,162.7,206,195.3,-38.64,,,x,s,,,,,1st Cooling,
2-UV-PET-1_5,1.33,162.7,206.2,195.5,-37.8,,,x,s,,,,,1st Cooling,
