Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
2-UV-PE-2_1,UV-PE-26,1.11,111.7,2nd Heating,50.9,115.1,107.8,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_2,UV-PE-27,1.27,111.7,2nd Heating,50.0,117.7,107.9,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_3,UV-PE-28,1.44,113.3,2nd Heating,50.0,117.8,108.0,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_4,UV-PE-29,1.34,111.8,2nd Heating,50.0,117.2,108.2,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_5,UV-PE-30,1.49,112.0,2nd Heating,50.0,117.2,107.9,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_1,UV-PE-31,1.12,113.5,2nd Heating,50.5,117.77,107.7,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_2,UV-PE-32,1.46,110.3,2nd Heating,50.58,121.75,108.0,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_3,UV-PE-33,1.46,111.6,2nd Heating,50.616,120.49,108.2,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_4,UV-PE-34,1.16,113.7,2nd Heating,50.75,118.69,108.1,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_5,UV-PE-35,1.19,110.9,2nd Heating,50.5,118.54,107.8,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_1,UV-PE-36,1.21,111.8,2nd Heating,50.0,118.37,108.3,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_2,UV-PE-37,1.28,113.4,2nd Heating,50.0,118.49,108.1,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_3,UV-PE-38,1.45,114.7,2nd Heating,50.0,118.25,108.0,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_4,UV-PE-39,1.16,114.7,2nd Heating,50.0,118.53,107.9,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_5,UV-PE-40,1.17,115.5,2nd Heating,50.0,117.9,107.8,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_1,UV-PET-21,1.28,34.39,2nd Heating,207.9,256.9,234.4,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_2,UV-PET-22,1.4,36.05,2nd Heating,207.9,256.6,234.5,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_3,UV-PET-23,1.27,34.95,2nd Heating,207.9,257.0,234.4,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_4,UV-PET-24,1.33,34.65,2nd Heating,207.9,256.6,234.4,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_5,UV-PET-25,1.33,33.77,2nd Heating,207.9,256.3,234.1,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_1,UV-PET-26,1.14,35.65,2nd Heating,206.3,255.7,234.4,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_2,UV-PET-27,1.34,35.14,2nd Heating,206.3,256.1,234.2,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_3,UV-PET-28,1.35,35.61,2nd Heating,206.3,255.9,234.2,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_4,UV-PET-29,1.24,34.94,2nd Heating,206.3,257.1,233.7,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,1.29,34.95,2nd Heating,206.3,256.7,234.0,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
