Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hc in Jg-1,Segment,TStart in °C,TEnd in °C,Tc in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Aging Level
2-UV-PE-2_4,UV-PE-29,1.34,-118.0,1st Cooling,39.22,99.7,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_5,UV-PE-30,1.49,-119.4,1st Cooling,36.0,99.7,94.1,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_1,UV-PE-31,1.12,-118.5,1st Cooling,36.0,99.66,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_2,UV-PE-32,1.46,-114.8,1st Cooling,36.0,99.61,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_3,UV-PE-33,1.46,-115.3,1st Cooling,36.0,98.94,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_4,UV-PE-34,1.16,-119.0,1st Cooling,36.0,99.25,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_5,UV-PE-35,1.19,-115.0,1st Cooling,36.0,99.46,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_1,UV-PE-36,1.21,-116.5,1st Cooling,36.0,100.2,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_2,UV-PE-37,1.28,-116.4,1st Cooling,36.0,99.42,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_3,UV-PE-38,1.45,-118.8,1st Cooling,36.0,99.76,94.1,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
