Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
3-UV-PET-3_2,UV-PET-52,1.42,34.4,2nd Heating,PET,207.45,256.33,235.2,235,7.42658,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_3,UV-PET-53,1.48,34.1,2nd Heating,PET,207.4,255.51,230.7,231,7.17297,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_4,UV-PET-54,1.41,33.23,2nd Heating,PET,207.65,254.24,232.5,232,7.08221,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_5,UV-PET-55,1.37,34.45,2nd Heating,PET,207.25,253.76,233.3,233,7.6785,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_1,UV-PET-56,1.46,36.11,2nd Heating,PET,206.6,257.03,233.2,233,7.0456,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_2,UV-PET-57,1.23,37.38,2nd Heating,PET,205.93,256.64,233.5,234,8.27704,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_3,UV-PET-58,1.39,32.78,2nd Heating,PET,205.92,255.85,233.7,234,7.37729,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_4,UV-PET-59,1.38,35.94,2nd Heating,PET,206.6,258.81,233.9,234,7.4306,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_5,UV-PET-60,1.33,34.34,2nd Heating,PET,206.28,255.84,233.8,234,7.57067,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
1-EBT-PE-1_1,eb-PE-1,1.18,86.79,2nd Heating,PE,58.01,114.42,98.2,98,7.64812,bimodal,left,undefined,First EBT
1-EBT-PE-1_2,eb-PE-2,1.25,84.7,2nd Heating,PE,58.01,116.1,97.3,97,7.23986,bimodal,left,undefined,First EBT
1-EBT-PE-1_3,eb-PE-3,1.07,86.94,2nd Heating,PE,58.01,115.24,98.0,98,8.06667,bimodal,left,undefined,First EBT
1-EBT-PE-1_4,eb-PE-4,1.16,86.21,2nd Heating,PE,58.01,114.61,97.2,97,7.68148,bimodal,left,undefined,First EBT
1-EBT-PE-1_5,eb-PE-5,1.16,85.46,2nd Heating,PE,58.01,118.28,97.4,97,7.58949,bimodal,left,undefined,First EBT
