Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
3-UV-PE-2_1,1.33,58.76,119.44,109.9,131.3,,x,,l,,x,,,1st Heating,,
3-UV-PE-2_2,1.36,58,118.72,110.5,129,,x,,l,,x,,,1st Heating,,
3-UV-PE-2_3,1.44,58,119.31,110.4,124.8,,x,,l,,x,,,1st Heating,,
3-UV-PE-2_4,1.37,58,120.74,110.1,125.6,,x,,l,,x,,,1st Heating,,
3-UV-PE-2_5,1.5,58,120.56,110,128.6,,x,,l,,x,,,1st Heating,,
3-UV-PE-3_1,1.49,58.176,120.76,110.1,125.6,,x,,l,,x,,,1st Heating,,
3-UV-PE-3_2,1.35,58.102,119.85,110.6,130.9,,x,,l,,x,,,1st Heating,,
3-UV-PE-3_3,1.3,58.382,119.25,109.8,130.4,,x,,l,,x,,,1st Heating,,
3-UV-PE-3_4,1.33,58,119.77,110.2,130.5,,x,,l,,x,,,1st Heating,,
3-UV-PE-3_5,1.35,58.044,120.35,110.2,128,,x,,l,,x,,,1st Heating,,
3-UV-PE-4_1,1.27,58,119.7,110.2,124.5,,x,,l,,x,,,1st Heating,,
3-UV-PE-4_2,1.32,58,119.65,110,125.5,,x,,l,,x,,,1st Heating,,
3-UV-PE-4_3,1.19,59.209,117.97,109.9,124.5,,x,,l,,x,,,1st Heating,,
3-UV-PE-4_4,1.46,58,119.65,110.3,126.1,,x,,l,,x,,,1st Heating,,
3-UV-PE-4_5,1.4,58,119.71,110,127.5,,x,,l,,x,,,1st Heating,,
3-UV-PE-1_1,1.48,50.127,119.43,107.7,119.8,,x,,l,,,,,2nd Heating,,
3-UV-PE-1_2,1.27,50,119.29,106.7,117,,x,,l,,,,,2nd Heating,,
3-UV-PE-1_3,1.37,50,118.87,107.6,118.6,,x,,l,,,,,2nd Heating,,
3-UV-PE-1_4,1.41,50,118.16,107.3,116.3,,x,,l,,,,,2nd Heating,,
3-UV-PE-1_5,1.47,50,118.97,107.8,116.8,,x,,l,,,,,2nd Heating,,
3-UV-PE-2_1,1.33,50,120,107.1,122.9,,x,,l,,,,,2nd Heating,,
3-UV-PE-2_2,1.36,50.785,120.23,107.9,120.7,,x,,l,,,,,2nd Heating,,
3-UV-PE-2_3,1.44,50.08,120.97,107.7,120,,x,,l,,,,,2nd Heating,,
3-UV-PE-2_4,1.37,50,122.8,106.6,111.6,,x,,l,,,,,2nd Heating,,
3-UV-PE-2_5,1.5,50.05,120.2,107.4,119.5,,x,,l,,,,,2nd Heating,,
3-UV-PE-3_1,1.49,50,119.89,107.8,117.5,,x,,l,,,,,2nd Heating,,
3-UV-PE-3_2,1.35,50,121.88,107.4,118.6,,x,,l,,,,,2nd Heating,,
3-UV-PE-3_3,1.3,50,120.1,107.4,119.8,,x,,l,,,,,2nd Heating,,
3-UV-PE-3_4,1.33,50,120.63,107.5,119.2,,x,,l,,,,,2nd Heating,,
3-UV-PE-3_5,1.35,50,120.71,107.8,120.5,,x,,l,,,,,2nd Heating,,
3-UV-PE-4_1,1.27,50,120.94,107.4,117,,x,,l,,,,,2nd Heating,,
3-UV-PE-4_2,1.32,50,123.71,106.8,118.3,,x,,l,,,,,2nd Heating,,
3-UV-PE-4_3,1.19,50,118.59,107.6,117.9,,x,,l,,,,,2nd Heating,,
3-UV-PE-4_4,1.46,50,122.52,107.9,121.3,,x,,l,,,,,2nd Heating,,
3-UV-PE-4_5,1.4,50,120,107.6,121.1,,x,,l,,,,,2nd Heating,,
1-EBT-PE-1_1,1.18,58,113.1,102.4,107.3,,,x,l,,,,,1st Heating,,
1-EBT-PE-1_2,1.25,58,113.72,102,105.8,,,x,l,,,,,1st Heating,,
1-EBT-PE-1_3,1.07,58.15,115.52,101.7,104.9,,,x,l,,,,,1st Heating,,
1-EBT-PE-1_4,1.16,58,114.81,102,107.4,,,x,l,,,,,1st Heating,,
1-EBT-PE-1_5,1.16,59.1,113.14,102.3,107.9,,,x,l,,,,,1st Heating,,
1-EBT-PE-2_1,1.44,58.59,114.98,102.1,109,,,x,l,,,,,1st Heating,,
1-EBT-PE-2_2,1.05,58,115.38,101.7,109.5,,,x,l,,,,,1st Heating,,
1-EBT-PE-2_3,1.15,58,114.76,101.4,108.9,,,x,l,,,,,1st Heating,,
1-EBT-PE-2_4,1.27,58,112.98,101.3,106.6,,,x,l,,,,,1st Heating,,
1-EBT-PE-2_5,1.16,58.07,114.43,102,108.5,,,x,l,,,,,1st Heating,,
1-EBT-PE-3_1,1.08,58,114.51,102.4,112.2,,,x,l,,,,,1st Heating,,
1-EBT-PE-3_2,1.28,58,117.99,101.3,106.3,,,x,l,,,,,1st Heating,,
1-EBT-PE-3_3,1.19,58,115.55,102,113.3,,,x,l,,,,,1st Heating,,
1-EBT-PE-3_4,1.23,58,116.01,102.2,109.1,,,x,l,,,,,1st Heating,,
1-EBT-PE-3_5,1.49,58,115.85,102.5,110,,,x,l,,,,,1st Heating,,
