Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
1-EBT-PE-3_1,eb-PE-11,1.08,90.29,2nd Heating,PE,58.13,113.41,96.9,97,8.00515,bimodal,left,undefined,First EBT
1-EBT-PE-3_2,eb-PE-12,1.28,87.66,2nd Heating,PE,58.04,115.88,96.3,96,7.05923,bimodal,left,undefined,First EBT
1-EBT-PE-3_3,eb-PE-13,1.19,89.98,2nd Heating,PE,58.0,113.9,98.6,99,7.5594,bimodal,left,undefined,First EBT
1-EBT-PE-3_4,eb-PE-14,1.23,89.14,2nd Heating,PE,58.0,114.51,97.2,97,7.09433,bimodal,left,undefined,First EBT
1-EBT-PE-3_5,eb-PE-15,1.49,89.86,2nd Heating,PE,58.0,115.06,97.7,98,6.37194,bimodal,left,undefined,First EBT
1-EBT-PE-4_1,eb-PE-16,1.21,86.24,2nd Heating,PE,58.26,117.87,98.1,98,7.44796,bimodal,left,undefined,First EBT
1-EBT-PE-4_2,eb-PE-17,1.08,87.45,2nd Heating,PE,58.0,114.66,97.8,98,7.96661,bimodal,left,undefined,First EBT
1-EBT-PE-4_3,eb-PE-18,1.13,84.94,2nd Heating,PE,58.0,112.12,97.0,97,7.71223,bimodal,left,undefined,First EBT
1-EBT-PE-4_4,eb-PE-19,1.21,85.45,2nd Heating,PE,58.0,115.55,97.9,98,7.37006,bimodal,left,undefined,First EBT
1-EBT-PE-4_5,eb-PE-20,1.23,87.28,2nd Heating,PE,58.0,114.94,97.9,98,7.14103,bimodal,left,undefined,First EBT
2-EBT-PE-1_1,eb-PE-21,1.15,71.66,2nd Heating,PE,59.2,112.8,94.0,94,7.49537,wide,left,undefined,Second EBT
2-EBT-PE-1_2,eb-PE-22,1.46,75.05,2nd Heating,PE,59.36,109.75,95.4,95,6.63926,wide,left,undefined,Second EBT
2-EBT-PE-1_3,eb-PE-23,1.23,72.36,2nd Heating,PE,59.2,112.37,94.4,94,6.97205,wide,left,undefined,Second EBT
2-EBT-PE-1_4,eb-PE-24,1.24,76.3,2nd Heating,PE,59.43,112.45,95.4,95,7.23581,wide,left,undefined,Second EBT
2-EBT-PE-1_5,eb-PE-25,1.45,74.23,2nd Heating,PE,59.2,109.79,95.1,95,6.46253,wide,left,undefined,Second EBT
2-EBT-PE-2_1,eb-PE-26,1.17,73.79,2nd Heating,PE,59.2,112.93,94.2,94,7.44685,wide,left,undefined,Second EBT
2-EBT-PE-2_2,eb-PE-27,1.35,75.8,2nd Heating,PE,59.35,112.94,94.6,95,6.68852,wide,left,undefined,Second EBT
2-EBT-PE-2_3,eb-PE-28,1.29,74.28,2nd Heating,PE,58.74,111.35,95.2,95,7.01829,wide,left,undefined,Second EBT
2-EBT-PE-2_4,eb-PE-29,1.2,73.01,2nd Heating,PE,58.3,111.98,95.3,95,7.27431,wide,left,undefined,Second EBT
2-EBT-PE-2_5,eb-PE-30,1.33,75.47,2nd Heating,PE,59.2,112.44,95.2,95,6.90361,wide,left,undefined,Second EBT
